GenAge ID,name,symbol,organism,functions,Entrez gene id,avg lifespan change (max obsv),lifespan effect,longevity influence,observations
335,Homolog of Hedgehog AcylTransferase,hhat-2,Caenorhabditis elegans,Hedgehog acyltransferase,190374,50,Increase,Anti-Longevity,pro;;;332;15105378
336,HIStone,his-71,Caenorhabditis elegans,H3 histone,181057,19,Decrease,Pro-Longevity,anti;50.0;;333;17608836
337,hook,hk,Drosophila melanogaster,"Coiled-coiled, MVB interactions",35169,,Decrease,Pro-Longevity,pro;19.0;;334;18006689
338,Homeodomain interacting Protein Kinase,hpk-1,Caenorhabditis elegans,Homeodomain interacting protein kinase,180695,37,Decrease,Pro-Longevity,pro;;30.0;335;17435236
339,Srs2p,SRS2,Saccharomyces cerevisiae,DNA helicase and DNA-dependent ATPase involved in DNA repair,853353,30,Decrease,Pro-Longevity,pro;37.0;;336;18006689
340,human HnRNP A1 homolog,hrp-1,Caenorhabditis elegans,RNA metabolism,177101,49,Increase,Anti-Longevity,pro;30.0;;337;11290710
341,Heat shock transcription factor 1,hsf-1,Caenorhabditis elegans,Transcription factor that is activated upon heat shock,173078,,Decrease,Pro-Longevity,anti;49.0;;338;17411345|anti;49.0;;338;17411345
342,Heat Shock Protein,hsp-16.1,Caenorhabditis elegans,Stress-induced chaperone,179286,,Increase,Pro-Longevity,pro;;;339;14668486
343,Heat Shock Protein,hsp-16.48,Caenorhabditis elegans,Stress-induced chaperone,179287,,Increase,Pro-Longevity,pro;;;340;12882326
344,Heat Shock Protein,hsp-16.49,Caenorhabditis elegans,Stress-induced chaperone,179288,,Increase,Pro-Longevity,pro;;;341;12882326
345,Heat Shock Protein,hsp-4,Caenorhabditis elegans,Response to heat shock,174203,,Decrease,Pro-Longevity,pro;;;342;12882326
346,Heat shock 70kDa protein 9B (mortalin-2),hsp-6,Caenorhabditis elegans,Stress-induced chaperone,178873,,Increase and Decrease,Pro-Longevity,pro;;;343;16741121|pro;;;343;16741121
347,chaperone ATPase HSP104,HSP104,Saccharomyces cerevisiae,Heat shock protein,850633,40,Decrease,Unannotated,pro;43.0;45.0;344;11959102
349,Heat shock protein 26,Hsp26,Drosophila melanogaster,Heat shock response,39075,30,Increase,Pro-Longevity,fitness;40.0;;345;17908928
350,Heat shock protein 27,Hsp27,Drosophila melanogaster,Heat shock response,39078,30,Increase,Pro-Longevity,pro;30.0;;347;15308776
351,Heat shock protein 68,Hsp68,Drosophila melanogaster,Response to heat shock,42852,20,Increase,Pro-Longevity,pro;30.0;;348;15308776|pro;30.0;;348;15308776
352,Heat Shock Protein,hsp70,Drosophila melanogaster,Heat shock response,,,Increase,Pro-Longevity,pro;;;349;14602080
353,Hst2p,HST2,Saccharomyces cerevisiae,Cytoplasmic member of the silencing information regulator 2 (Sir2) family,856092,,Increase,Pro-Longevity,pro;;;350;9363888
354,Him-Three Paralog,htp-3,Caenorhabditis elegans,Chromatin modificatioon,172099,19,Increase,Anti-Longevity,pro;;;351;16051752
355,5-hydroxytryptamine (serotonin) receptor 1B,Htr1b,Mus musculus,5-hydroxytryptamine (serotonin) receptor 1B,15551,,Decrease,Pro-Longevity,anti;19.0;;352;17411345
356,human HUS1 related,hus-1,Caenorhabditis elegans,DNA damage checkpoint protein,171939,11,Increase,Anti-Longevity,pro;;;353;17420766
357,hexokinase 2,HXK2,Saccharomyces cerevisiae,Catalyzes the addition of phosphate to glucose to make glucose-6-phosphate,852639,50,Increase,Anti-Longevity,anti;11.0;;354;17895432|anti;11.0;;354;17895432
358,Idh2p,IDH2,Saccharomyces cerevisiae,Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase,854303,30,Increase,Anti-Longevity,anti;50.0;;355;11000115|anti;50.0;;355;11000115|anti;50.0;;355;11000115
359,Initiation Factor 4E (eIF4E) family,ife-1,Caenorhabditis elegans,A scaffold protein for translation initiation factors,176755,,Increase,Anti-Longevity,anti;30.0;;356;16293764
360,Initiation Factor 4E (eIF4E) family,ife-2,Caenorhabditis elegans,A scaffold protein for translation initiation factors,180393,,Increase,Anti-Longevity,anti;;10.0;357;17266680|anti;;10.0;357;17266680|anti;;10.0;357;17266680
361,Initiation Factor Five (eIF-5A) homologs,iff-1,Caenorhabditis elegans,,176373,,Increase,Anti-Longevity,anti;;20.0;358;17266679
362,Initiation Factor 4G (eIF4G) family,ifg-1,Caenorhabditis elegans,A scaffold protein for translation initiation factors,174322,55,Increase,Anti-Longevity,anti;;;359;15998808|anti;;;359;15998808|anti;;;359;15998808|anti;;;359;15998808|anti;;;359;15998808
363,IntraFlagellar Transport Associated,ifta-2,Caenorhabditis elegans,Ciliar protein,189055,50,Increase,Anti-Longevity,anti;55.0;;360;17411345
364,Insulin-like growth factor 1,Igf1,Mus musculus,Hormone that stimulates growth,16000,23,Increase,Pro-Longevity,anti;50.0;;361;16968739
365,Insulin-like growth factor 1 receptor,Igf1r,Mus musculus,IGF1 receptor that mediates growth,16001,40,Increase,Anti-Longevity,pro;23.0;0.0;362;17973971|pro;23.0;0.0;362;17973971
366,I'm not dead yet protein,Indy,Drosophila melanogaster,Sodium-dependent citrate transporter,40049,92,Increase,Anti-Longevity,anti;33.0;;363;12483226|anti;33.0;;363;12483226
367,INitiation Factor,inf-1,Caenorhabditis elegans,Scaffold protein for translation initiation factors,175966,,Increase and Decrease,Unclear,anti;92.0;45.0;364;11118146|anti;92.0;45.0;364;11118146
368,Insulin-like 1 receptor,InR,Drosophila melanogaster,InR regulates cell growth and proliferation through the dP13K/dAkt pathway,42549,85,Increase,Anti-Longevity,anti;46.0;;365;17411345
369,INSulin related,ins-1,Caenorhabditis elegans,Encodes an insulin-like protein,177936,25,Increase,Pro-Longevity,anti;85.0;;366;11292875
370,INSulin related,ins-18,Caenorhabditis elegans,Encodes an insulin-like protein,172600,,Increase,Anti-Longevity,pro;25.0;;367;11274053
371,INSulin related,ins-21,Caenorhabditis elegans,Encodes an insulin-like protein,191689,,Increase,Anti-Longevity,anti;;;368;12845331
372,INSulin related,ins-7,Caenorhabditis elegans,Encodes an insulin-like protein,191688,12,Increase,Anti-Longevity,anti;;;369;12845331|anti;;;369;12845331
373,Insulin receptor,Insr,Mus musculus,Signal tranduction of insulin,16337,33.29999924,Increase,Anti-Longevity,anti;;;370;12845331|anti;;;370;12845331
374,INneXin,inx-14,Caenorhabditis elegans,Embryonic viability and fertility,172488,,Increase,Anti-Longevity,anti;;;371;12543978
375,INneXin,inx-8,Caenorhabditis elegans,Gap junction protein,178101,19,Increase,Anti-Longevity,anti;;;372;15998808
376,INneXin,inx-9,Caenorhabditis elegans,Innexin-type channel,191694,28,Increase,Anti-Longevity,anti;19.0;;373;17608836|anti;19.0;;373;17608836
377,insulin receptor substrate 1,Irs1,Mus musculus,"Cytoplasmic signalling molecule that mediates effects of insulin, insulin-like growth factor 1, and other cytokines",16367,18,Increase,Anti-Longevity,anti;28.0;;374;17411345
378,insulin receptor substrate 2,Irs2,Mus musculus,"Cytoplasmic signalling molecule that mediates effects of insulin, insulin-like growth factor 1, and other cytokines",384783,18,Increase,Anti-Longevity,anti;18.0;;375;17928362
379,Iron-Sulfur Protein,isp-1,Caenorhabditis elegans,Iron sulfur protein of mitochondrial complex III,177609,60,Increase,Anti-Longevity,anti;18.0;;376;17641201|anti;18.0;;376;17641201
380,JNK Kinase,jkk-1,Caenorhabditis elegans,Signal transduction,180810,,Decrease,Unannotated,;60.0;100.0;377;11709184
381,Jun N-terminal Kinase,jnk-1,Caenorhabditis elegans,Signal transduction,177460,,Increase and Decrease,Pro-Longevity,;;;378;15767565|;;;378;15767565
382,Protein MRPL-10,mrpl-10,Caenorhabditis elegans,Mitochondrial translation,186840,17,Increase,Anti-Longevity,pro;40.0;;379;15767565
383,Protein K01C8.7,K01C8.7,Caenorhabditis elegans,Mitochondrial FAD carrier protein,186841,20,Increase,Anti-Longevity,anti;17.0;;380;17521386
384,eIFTwoBeta (eIF2beta translation initiation factor),iftb-1,Caenorhabditis elegans,A subunit of the general translation-initiation factor eIF2,172584,,Increase,Anti-Longevity,anti;20.0;;381;12447374
385,Protein K07H8.1,K07H8.1,Caenorhabditis elegans,Beta-tubulin folding cofactor E,177624,,Increase,Anti-Longevity,anti;;30.0;382;17266679
386,Protein K07H8.8,K07H8.8,Caenorhabditis elegans,,187128,22,Increase,Anti-Longevity,anti;;;383;15998808
387,SCRaMblase (phospholipid scramblase),scrm-8,Caenorhabditis elegans,Phospholipid scramblase,187152,,Increase,Anti-Longevity,anti;22.0;;384;17608836
388,Protein K08E3.5,K08E3.5,Caenorhabditis elegans,UDP-glucose pyrophosphorylase,176814,,Increase,Anti-Longevity,anti;;;385;15998808
389,Protein K10B4.3,K10B4.3,Caenorhabditis elegans,PH domain protein Melted,173397,,Increase,Anti-Longevity,anti;;;386;15998808
390,Poly(U) Polymerase,pup-2,Caenorhabditis elegans,S-M checkpoint control protein,175708,,Increase,Anti-Longevity,anti;;;387;15998808
391,Caffeine Induced Death (S. pombe Cid) homolog,cid-1,Caenorhabditis elegans,S-M checkpoint control protein,175707,,Increase,Anti-Longevity,anti;;;388;15998808
392,Protein K11B4.1,K11B4.1,Caenorhabditis elegans,,173349,16,Increase,Anti-Longevity,anti;;;389;16741121
393,Protein K11D12.9,K11D12.9,Caenorhabditis elegans,Transcription factor,178892,,Decrease,Pro-Longevity,anti;16.0;;390;17521386
394,Protein K12H4.5,K12H4.5,Caenorhabditis elegans,Phosphatidylserine decarboxylase proenzyme,187337,58,Increase,Anti-Longevity,pro;;;391;18006689
395,Klotho,Kl,Mus musculus,Calcium metabolism,16591,,Increase and Decrease,Pro-Longevity,anti;58.0;;392;17608836|anti;58.0;;392;17608836|anti;58.0;;392;17608836
396,human KRIT 1 (Krev interaction trapped/cerebral cavernous malformation 1) homolog,kri-1,Caenorhabditis elegans,Encodes an intestinal ankyrin-repeat protein,191275,,Decrease,Pro-Longevity,pro;;;1009;9363890
397,Kss1p,KSS1,Saccharomyces cerevisiae,"Proliferation, differentiation, transcription regulation and development",852931,33,Decrease,Unannotated,pro;;;393;16530050
398,Ceramide synthase component,LAG1,Saccharomyces cerevisiae,Involved in the synthesis of ceramide,856386,50,Increase,Anti-Longevity,fitness;33.0;;394;17662940
399,Lag2p,LAG2,Saccharomyces cerevisiae,,854133,36,Increase,Pro-Longevity,anti;50.0;50.0;395;8195187
400,"Dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase complex, which catalyzes",LAT1,Saccharomyces cerevisiae,Dihydrolipoamide acetyltransferase,855653,20,Increase,Pro-Longevity,pro;36.0;54.0;396;8760941
401,Lipid Binding Protein,lbp-4,Caenorhabditis elegans,Member of a family of small intracellular fatty acid binding proteins,179161,,Decrease,Pro-Longevity,pro;20.0;;397;17200108
402,Lipid Binding Protein,lbp-6,Caenorhabditis elegans,Fatty acid-binding protein,172390,,Increase and Decrease,Unclear,pro;;;398;16673436|pro;;;398;16673436
403,Lipid Binding Protein,lbp-7,Caenorhabditis elegans,Fatty acid-binding protein,191701,,Increase,Anti-Longevity,pro;;;399;16673436
404,Lipid Binding Protein,lbp-9,Caenorhabditis elegans,Fatty acid-binding protein,178686,,Decrease,Pro-Longevity,anti;;;400;12845331
405,LIM domain Binding Protein,ldb-1,Caenorhabditis elegans,Member of the nuclear LIM binding protein family,181292,,Decrease,Pro-Longevity,pro;;;401;16673436
406,LEM domain protein,lem-2,Caenorhabditis elegans,Component of nuclear lamina,175058,,Decrease,Pro-Longevity,pro;;;402;16380712
407,LEThal,let-60,Caenorhabditis elegans,Ras homolog,178104,,Increase,Unannotated,pro;;;403;16269543
408,LEThal,let-653,Caenorhabditis elegans,Secreted glycosylated mucin,178120,13,Decrease,Pro-Longevity,;;;404;16164423
409,abnormal cell LINeage,lin-14,Caenorhabditis elegans,Small noncoding temporal RNA that controls the timing of larval development,181337,31,Increase,Anti-Longevity,pro;13.0;;405;18006689
410,abnormal cell LINeage,lin-2,Caenorhabditis elegans,Encodes a protein belonging to the membrane associated guanylate kinase (MAGUK),181400,,Increase,Unclear,anti;31.0;;406;16373574|anti;31.0;;406;16373574
411,abnormal cell LINeage,lin-23,Caenorhabditis elegans,Larval development,174058,,Decrease,Pro-Longevity,anti;;;407;16380712
412,abnormal cell LINeage,lin-4,Caenorhabditis elegans,Small noncoding temporal RNA that controls the timing of larval development,266860,,,Pro-Longevity,pro;;;408;17392428
413,Protein DLD-1,dld-1,Caenorhabditis elegans,Dihydrolipoamide dehydrogenase,178387,61,Increase,Anti-Longevity,pro;;;409;16373574|pro;;;409;16373574
414,nuclear LaMiN,lmn-1,Caenorhabditis elegans,Components of the nuclear lamina,172687,12,Decrease,Pro-Longevity,anti;61.0;;410;17608836|anti;61.0;;410;17608836
415,lamin A,Lmna,Mus musculus,LMAN encodes components of the lamina,16905,,Decrease,Pro-Longevity,pro;;;411;16269543
416,LiPid Depleted,lpd-5,Caenorhabditis elegans,ATP synthesis,172037,17,Increase,Anti-Longevity,pro;;;412;12748643
417,Leucyl Amino-acyl tRNA Synthetase,lars-2,Caenorhabditis elegans,,172499,,Increase,Anti-Longevity,anti;17.0;;413;17521386
418,LSM Sm-like protein,lsm-7,Caenorhabditis elegans,Small nuclear ribonucleoprotein splicing factor,177988,24,Decrease,Pro-Longevity,anti;;;414;12447374
419,light,lt,Drosophila melanogaster,Cellular transport,3355130,,Decrease,Pro-Longevity,pro;24.0;;415;18006689
420,LYSozyme,lys-8,Caenorhabditis elegans,Encodes a putative lysozyme,173944,29,Decrease,Pro-Longevity,pro;;10.0;416;17435236
421,Isocitrate dehydrogenase,LYS12,Saccharomyces cerevisiae,NAD-linked mitochondrial enzyme required for the fourth step in the biosynthesis of lysine,854714,,Increase,Anti-Longevity,pro;29.0;;417;17934462|pro;29.0;;417;17934462
422,Protein M05B5.2,M05B5.2,Caenorhabditis elegans,,187451,45,Decrease,Pro-Longevity,anti;;;418;16418483
423,Protein M57.2,M57.2,Caenorhabditis elegans,Geranylgeranyl transferase,177113,20,Decrease,Pro-Longevity,pro;45.0;;419;18006689
424,Drosophila MAGonashi homolog,mag-1,Caenorhabditis elegans,mRNA decay,173073,15,Decrease,Pro-Longevity,pro;20.0;;420;18006689
425,Motor AXon guidance,max-1,Caenorhabditis elegans,,179794,,Increase,Anti-Longevity,pro;15.0;;421;18006689
426,yeast MCM (licensing factor) related,mcm-2,Caenorhabditis elegans,Chromatin modificatioon,174841,,Increase and Decrease,Unclear,anti;;;422;15998808|anti;;;422;15998808
427,minichromosome maintenance deficient 2 mitotin (S. cerevisiae),Mcm2,Mus musculus,Chromatin modification,17216,,Decrease,Pro-Longevity,anti;15.0;;423;17411345
428,Malate DeHydrogenase,mdh-2,Caenorhabditis elegans,Mitochondrial malate dehydrogenase,175936,10,Decrease,Pro-Longevity,pro;;;424;17717065
429,MEChanosensory abnormality,mec-8,Caenorhabditis elegans,RNA-binding protein splicing factor,172771,,Increase,Unannotated,pro;10.0;;425;18006689
430,Mec1p,MEC1,Saccharomyces cerevisiae,Involved in replication stress and DNA damage,852433,66,Decrease,Unannotated,;;;426;10617200
431,"Mog interacting, Ectopic P granules",mep-1,Caenorhabditis elegans,Post-transcriptional gene regulation,178074,8,Decrease,Pro-Longevity,fitness;66.0;;427;17710147
432,Mep2p,MEP2,Saccharomyces cerevisiae,Ammonium permease,855580,,Increase,Anti-Longevity,pro;8.0;;428;18006689
433,Mep3p,MEP3,Saccharomyces cerevisiae,Ammonium transport,856260,,Increase,Anti-Longevity,anti;;;429;16418483
434,Maternal Effect Sterile,mes-1,Caenorhabditis elegans,Required for early asymmetric divisions of the germ line,181362,60,Increase,Anti-Longevity,anti;;;430;16418483
435,Abnormal MEthyl Viologen sensitivity,mev-1,Caenorhabditis elegans,"Succinate dehydrogenase, cytochrome b subunit",260040,,Decrease,Pro-Longevity,anti;60.0;;431;11799246|anti;60.0;;431;11799246
436,mannoside acetylglucosaminyltransferase 5,Mgat5,Mus musculus,Mannoside acetylglucosaminyltransferase 5,107895,,Decrease,Pro-Longevity,;;;432;9716135
437,MKK (MAP Kinase Kinase) homolog,mkk-4,Caenorhabditis elegans,MAP kinase kinase homologue,185682,,Decrease,Anti-Longevity,pro;;;433;17483135
438,MAP kinase iNtegrating Kinase (MNK) homolog,mnk-1,Caenorhabditis elegans,Regulation of signalling,174623,,Decrease,Pro-Longevity,anti;;23.0;434;17592521
439,"CG13316-PC, isoform C",Mnt,Drosophila melanogaster,Homolog of the mammalian Mnt and Mad family of transcriptional repressors,31331,,Decrease,Pro-Longevity,pro;;20.0;435;17277769
440,Modulation Of locomotion Defective,mod-5,Caenorhabditis elegans,Serotonin metabolism,171879,,Decrease,Pro-Longevity,pro;;;436;16055719
441,Mpt5p,MPT5,Saccharomyces cerevisiae,Binds to mRNAs encoding chromatin modifiers and spindle pole body components,852697,,Increase and Decrease,Pro-Longevity,pro;;;437;17559503|pro;;;437;17559503|pro;;;437;17559503
442,Multidrug Resistance Protein family,mrp-5,Caenorhabditis elegans,"Multidrug resistance-associated protein/mitoxantrone resistance protein, ABC superfamily",181587,,Increase,Anti-Longevity,pro;25.0;;438;9150138
443,Methionyl tRNA Synthetase,mars-1,Caenorhabditis elegans,Methionyl tRNA Synthetase,178089,23,Increase,Anti-Longevity,anti;;;439;12447374
444,"mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)",Msh2,Mus musculus,DNA mismach repair,17685,,Decrease,Pro-Longevity,anti;23.0;;440;17608836
445,Ecdysone-induced protein 28/29kD,Eip71CD,Drosophila melanogaster,MSRA repairs damage resulting from oxidative stress,39675,70,Increase,Pro-Longevity,pro;;;441;12629043|pro;;;441;12629043
446,Methionine sulfoxide reductase A,Msra,Mus musculus,MSRA repairs damage resulting from oxidative stress,110265,,Decrease,Pro-Longevity,pro;70.0;;442;11867705|pro;70.0;;442;11867705
447,methuselah,mth,Drosophila melanogaster,G-protein coupled receptor activity,38058,35,Increase,Anti-Longevity,pro;;;443;11606777
448,MeTaLlothionein,mtl-2,Caenorhabditis elegans,,179899,,Increase,Anti-Longevity,anti;35.0;;444;9794765
449,MaX-Like,mxl-2,Caenorhabditis elegans,,175184,7,Decrease,Pro-Longevity,anti;;;445;12845331
450,Mxr1p,MXR1,Saccharomyces cerevisiae,,856765,,Increase and Decrease,Pro-Longevity,pro;7.0;;446;18006689|pro;7.0;;446;18006689
451,myospheroid,mys,Drosophila melanogaster,Beta integrin,44885,20,Increase,Anti-Longevity,pro;25.0;;447;15141092
452,NADC (Na+-coupled dicarboxylate transporter) family,nac-2,Caenorhabditis elegans,Na -coupled dicarboxylate transporter,187898,19,Increase,Anti-Longevity,anti;20.0;;448;14570233
453,NADC (Na+-coupled dicarboxylate transporter) family,nac-3,Caenorhabditis elegans,Na -coupled dicarboxylate transporter,176429,15,Increase,Anti-Longevity,anti;19.0;50.0;449;14678010
454,Nematode AStacin protease,nas-38,Caenorhabditis elegans,Meprin A metalloprotease,180407,,Increase,Anti-Longevity,anti;15.0;;450;12480943
455,NADH-ubiquinone reductase (H(+)-translocating) NDE1,NDE1,Saccharomyces cerevisiae,Mitochondrial electron transport chain,855176,25,Increase,Unclear,anti;;;451;15998808|anti;;;451;15998808
456,NADH-ubiquinone reductase (H(+)-translocating) NDE2,NDE2,Saccharomyces cerevisiae,Mitochondrial electron transport chain,851474,25,Increase,Pro-Longevity,pro;25.0;;452;14724176
457,NADH-ubiquinone reductase (H(+)-translocating) NDI1,NDI1,Saccharomyces cerevisiae,Mitochondrial electron transport chain,854919,,Increase and Decrease,Unclear,pro;25.0;;453;14724176|pro;25.0;;453;14724176|pro;25.0;;453;14724176
458,nei endonuclease VIII-like 1 (E. coli),Neil1,Mus musculus,Base excision repair of ring-fragmented purines and some saturated pyrimidines,72774,,Decrease,Pro-Longevity,anti;;;454;16436509
459,Neurofibromin 1,Nf1,Drosophila melanogaster,Tumor supressor,43149,68,Increase,Pro-Longevity,pro;;;455;16446448
460,NFI (Nuclear Factor I) family,nfi-1,Caenorhabditis elegans,Transcription/replication factor,174225,,Decrease,Pro-Longevity,pro;68.0;52.0;456;17369827
461,Nuclear Hormone Receptor family,nhr-14,Caenorhabditis elegans,Hepatocyte nuclear factor 4 and similar steroid hormone receptors,181102,,Increase,Anti-Longevity,pro;;;457;16242019
462,Nuclear Hormone Receptor family,nhr-154,Caenorhabditis elegans,,182565,,Increase,Anti-Longevity,anti;;;458;15998808
463,Nuclear Hormone Receptor family,nhr-49,Caenorhabditis elegans,,172839,56,Decrease,Pro-Longevity,anti;;;459;15998808|anti;;;459;15998808
464,Na/H eXchanger,nhx-2,Caenorhabditis elegans,,174242,40,Increase,Anti-Longevity,pro;;;460;15719061
465,Nicotinamide Nucleotide Transhydrogenase,nnt-1,Caenorhabditis elegans,Nicotinamide nucleotide transhydrogenase,180884,18,Decrease,Pro-Longevity,anti;40.0;;461;12939266
466,"nitric oxide synthase 3, endothelial cell",Nos3,Mus musculus,,18127,,Decrease,Pro-Longevity,pro;18.0;;462;17934462
467,Nematode Polyprotein Allergen related,npa-1,Caenorhabditis elegans,Fatty acids and vitamin A binding,179095,32,Increase,Anti-Longevity,pro;;;463;15350840
468,Nuclear Pore complex Protein,npp-2,Caenorhabditis elegans,Nuclear pore complex component,172611,11,Decrease,Pro-Longevity,anti;32.0;;464;17411345
469,Nuclear Pore complex Protein,npp-3,Caenorhabditis elegans,Nucleoporin,174823,14,Decrease,Pro-Longevity,pro;11.0;;465;18006689
470,Nicotinatephosphoribosyltranfserase,NPT1,Saccharomyces cerevisiae,Critical for the NAD+ salvage pathway,854384,,Increase and Decrease,Pro-Longevity,pro;14.0;;466;18006689|pro;14.0;;466;18006689|pro;14.0;;466;18006689
471,asparagiNyl tRNA Synthetase,nars-1,Caenorhabditis elegans,tRNA synthesis,172442,11,Increase,Anti-Longevity,pro;60.0;;467;11884393
472,GLIoTactin (Drosophila neuroligin-like) homolog,nrx-1,Caenorhabditis elegans,,179503,,Decrease,Anti-Longevity,anti;11.0;;468;17521386
473,LEThal,let-765,Caenorhabditis elegans,Notch signalling pathway,175934,27,Decrease,Pro-Longevity,anti;;40.0;469;17592521
474,NOT-Like (yeast CCR4/NOT complex component),ntl-3,Caenorhabditis elegans,NOT3/NOT5 protein,176614,,Decrease,Pro-Longevity,pro;27.0;;470;18006689
475,abnormal NUClease,nuc-1,Caenorhabditis elegans,"Deoxyribonuclease II, involved in apoptotic DNA degradation",181174,,Increase,Anti-Longevity,pro;;;471;18006689
476,NADH Ubiquinone Oxidoreductase,nuo-1,Caenorhabditis elegans,,174696,50,Increase,Anti-Longevity,anti;;;472;12845331|anti;;;472;12845331|anti;;;472;12845331
477,NADH Ubiquinone Oxidoreductase,nuo-2,Caenorhabditis elegans,,172363,,Increase,Anti-Longevity,anti;;;473;11410594
478,NADH Ubiquinone Oxidoreductase,nuo-3,Caenorhabditis elegans,"NADH:ubiquinone oxidoreductase, NDUFA6/B14 subunit",178404,77,Increase,Anti-Longevity,anti;;;474;15998808|anti;;;474;15998808|anti;;;474;15998808
479,NADH Ubiquinone Oxidoreductase,nuo-4,Caenorhabditis elegans,"NADH:ubiquinone oxidoreductase, NDUFA10/42kDa subunit",176001,38,Increase,Anti-Longevity,anti;;;475;16103914|anti;;;475;16103914
480,NADH Ubiquinone Oxidoreductase,nuo-5,Caenorhabditis elegans,"NADH-ubiquinone oxidoreductase, NDUFS1/75 kDa subunit",178735,,Increase,Anti-Longevity,anti;;;476;15998808
481,ODoRant response abnormal,odr-3,Caenorhabditis elegans,"G Protein, Alpha subunit",179806,30,Increase,Anti-Longevity,anti;;;477;15998808
482,OligoPeptide Transporter,pept-1,Caenorhabditis elegans,Intestinal peptide transporter,180919,40,Increase,Anti-Longevity,anti;30.0;;478;17187771|anti;30.0;;478;17187771
483,Odorant receptor co-receptor,Orco,Drosophila melanogaster,Odorant receptor,40650,56,Increase,Anti-Longevity,anti;;;479;15155758
484,OSMotic avoidance abnormal,osm-1,Caenorhabditis elegans,Encodes a predicted intraflagellar transport (IFT) raft protein,181715,40,Increase,Anti-Longevity,anti;56.0;30.0;480;17272684
485,OSMotic avoidance abnormal,osm-3,Caenorhabditis elegans,Encodes a kinesin motor domain,177141,,Increase,Anti-Longevity,anti;40.0;;481;10617200
486,OSMotic avoidance abnormal,osm-5,Caenorhabditis elegans,,180585,150,Increase,Anti-Longevity,anti;;;482;10617200
487,OSMotic avoidance abnormal,osm-6,Caenorhabditis elegans,Required for dauer formation,179631,40,Increase,Anti-Longevity,anti;150.0;;483;10617200
488,CG6824-PA,ovo,Drosophila melanogaster,Transcription factor required for female germ line maintenance and gametogenesis,31429,50,Increase,Anti-Longevity,anti;40.0;;484;10617200
489,CG33336-PA,p53,Drosophila melanogaster,"Cell cycle regulation, apoptosis, and DNA repair",2768677,58,Increase,Anti-Longevity,anti;50.0;;485;10617470|anti;50.0;;485;10617470
490,PolyA Binding protein,pab-1,Caenorhabditis elegans,PolyA Binding protein,172920,30,Increase,Anti-Longevity,anti;58.0;;486;16303568
491,PolyA Binding protein,pab-2,Caenorhabditis elegans,PolyA Binding protein,181473,,Increase,Anti-Longevity,anti;30.0;;487;17266680
492,Pregnancy-associated plasma protein A,Pappa,Mus musculus,Could be involved in local cell proliferative processes,18491,30,Increase,Anti-Longevity,anti;;15.0;488;17266680|anti;;15.0;488;17266680
493,abnormal embryonic PARtitioning of cytoplasm,par-5,Caenorhabditis elegans,,178113,,Increase and Decrease,Pro-Longevity,anti;;40.0;489;17681037|anti;;40.0;489;17681037
494,Paralysed Arrest at Two-fold,pat-4,Caenorhabditis elegans,Integrin-mediated muscle cell attachments during embryogenesis,175175,24,Increase,Anti-Longevity,pro;30.0;;490;16860373|pro;30.0;;490;16860373|pro;30.0;;490;16860373
495,Paralysed Arrest at Two-fold,pat-6,Caenorhabditis elegans,Muscle assembly and function,176848,60,Increase,Anti-Longevity,anti;16.0;;491;16103914|anti;16.0;;491;16103914
496,"PRKC, apoptosis, WT1, regulator",Pawr,Mus musculus,"Tumor-suppressor protein that induces apoptosis in cancer cells, but not in normal/immortalized cells",114774,,Increase and Decrease,Pro-Longevity,anti;21.0;;492;16103914|anti;21.0;;492;16103914
497,"phosphoenolpyruvate carboxykinase 1, cytosolic",Pck1,Mus musculus,,18534,,Increase,Pro-Longevity,pro;;;493;17909035
498,Protein-L-isoaspartate (D-aspartate) O-methyltransferase,Pcmt,Drosophila melanogaster,Protein repair,40668,39,Increase,Pro-Longevity,pro;;;494;17716967|pro;;;494;17716967
499,PDK-class protein kinase,pdk-1,Caenorhabditis elegans,Serine/threonine kinase,180475,60,Increase,Anti-Longevity,pro;39.0;;495;11742076
500,Patterned Expression Site,pes-2.2,Caenorhabditis elegans,,173026,,Increase,Anti-Longevity,anti;60.0;;496;10364160
501,ProFiliN,pfn-2,Caenorhabditis elegans,Cytoskeleton organization,180808,,Increase,Anti-Longevity,anti;;;497;12845331
502,P GranuLe abnormality,pgl-1,Caenorhabditis elegans,Component of germ line P-granules,177461,,Increase,Anti-Longevity,anti;;;498;15998808
503,defective PHArynx development,pha-4,Caenorhabditis elegans,Pharynx development,180357,13,Decrease,Pro-Longevity,anti;;;499;11799246|anti;;;499;11799246
504,Phb1p,PHB1,Saccharomyces cerevisiae,,853033,20,Decrease,Pro-Longevity,pro;;;500;17476212|pro;;;500;17476212
505,Phb2p,PHB2,Saccharomyces cerevisiae,,853146,30,Decrease,Pro-Longevity,fitness;;;501;9259555|fitness;;;501;9259555|fitness;;;501;9259555
506,"POU domain, class 1, transcription factor 1",Pou1f1,Mus musculus,Transcription factor that regulates pituitary development,18736,40,Increase,Anti-Longevity,fitness;;;502;9259555
